線番号,1,電圧(V)/Ch167/Cy000002/C,2,電圧(V)/Ch168/Cy000002/C,3,電圧(V)/Ch169/Cy000002/C,4,電圧(V)/Ch170/Cy000002/C,5,電圧(V)/Ch171/Cy000002/C,6,電圧(V)/Ch172/Cy000002/C,7,電圧(V)/Ch185/Cy000002/C,8,電圧(V)/Ch186/Cy000002/C,9,電圧(V)/Ch187/Cy000002/C,10,電圧(V)/Ch188/Cy000002/C,11,電圧(V)/Ch189/Cy000002/C,12,電圧(V)/Ch190/Cy000002/C,13,電圧(V)/Ch191/Cy000002/C,14,電圧(V)/Ch192/Cy000002/C,15,電圧(V)/Ch193/Cy000002/C,16,電圧(V)/Ch195/Cy000002/C,17,電圧(V)/Ch196/Cy000002/C,,,,,,電圧(V)/Ch167/Cy000002/C,,電圧(V)/Ch168/Cy000002/C,,電圧(V)/Ch169/Cy000002/C,,電圧(V)/Ch170/Cy000002/C,,電圧(V)/Ch171/Cy000002/C,,電圧(V)/Ch172/Cy000002/C,,電圧(V)/Ch185/Cy000002/C,,電圧(V)/Ch186/Cy000002/C,,電圧(V)/Ch187/Cy000002/C,,電圧(V)/Ch188/Cy000002/C,,電圧(V)/Ch189/Cy000002/C,,電圧(V)/Ch190/Cy000002/C,,電圧(V)/Ch191/Cy000002/C,,電圧(V)/Ch192/Cy000002/C,,電圧(V)/Ch193/Cy000002/C,,電圧(V)/Ch195/Cy000002/C,,電圧(V)/Ch196/Cy000002/C,
968,2.09539,0.146,2.0536,0.1708,2.0734,0.1424,2.04287,0.1708,2.04841,0.1608,2.06191,0.1458,2.06207,0.1384,2.06838,0.1278,2.06016,0.1362,2.07246,0.1204,2.07874,0.1362,2.06601,0.1328,2.07157,0.1332,2.08851,0.1386,2.06482,0.1422,2.09076,0.1382,2.05855,0.1498,,,,,,0.46075312,0.146,0.491889665,0.1708,0.411821138,0.1424,0.518733225,0.1708,0.479459686,0.1608,0.403224766,0.1458,0.402436787,0.1384,0.363031635,0.1278,0.428501899,0.1362,0.365159017,0.1204,0.367452277,0.1362,0.396554636,0.1328,0.369443597,0.1332,0.372501213,0.1386,0.440309886,0.1422,0.395780881,0.1382,0.458391693,0.1498
969,2.09775,0.1462,2.05575,0.1708,2.07549,0.1424,2.04502,0.171,2.05056,0.161,2.0642,0.1458,2.06422,0.1386,2.07046,0.1278,2.06231,0.1362,2.07455,0.1204,2.08082,0.1364,2.06809,0.1328,2.07386,0.1334,2.0908,0.1386,2.06691,0.1422,2.09306,0.1382,2.06091,0.15,,,,,,0.461272058,0.1462,0.492404645,0.1708,0.412236256,0.1424,0.519279161,0.171,0.479962924,0.161,0.403672595,0.1458,0.402856385,0.1386,0.363396706,0.1278,0.428949087,0.1362,0.365527266,0.1204,0.367819952,0.1364,0.396953876,0.1328,0.369851996,0.1334,0.372909651,0.1386,0.440755565,0.1422,0.396216271,0.1382,0.458917211,0.15
970,2.10004,0.1462,2.05783,0.171,2.07771,0.1424,2.04717,0.1712,2.05272,0.161,2.06635,0.1458,2.06651,0.1386,2.07275,0.1278,2.06447,0.1362,2.07663,0.1206,2.08297,0.1362,2.07045,0.133,2.07616,0.1334,2.09316,0.1388,2.06927,0.1422,2.09542,0.1382,2.06321,0.15,,,,,,0.461775603,0.1462,0.492902858,0.171,0.412677195,0.1424,0.519825097,0.1712,0.480468503,0.161,0.404093047,0.1458,0.403303304,0.1386,0.363798635,0.1278,0.429398355,0.1362,0.365893754,0.1206,0.368200001,0.1362,0.39740686,0.133,0.370262177,0.1334,0.373330575,0.1388,0.44125882,0.1422,0.396663019,0.1382,0.459429368,0.15
971,2.10233,0.1462,2.06006,0.1714,2.07986,0.1424,2.04933,0.1714,2.05487,0.1612,2.06844,0.146,2.0686,0.1386,2.07484,0.128,2.06669,0.1362,2.07872,0.1206,2.08513,0.1364,2.07281,0.133,2.07845,0.1336,2.09552,0.1388,2.07135,0.1422,2.09771,0.1382,2.06529,0.1502,,,,,,0.462279149,0.1462,0.493437,0.1714,0.41310423,0.1424,0.520373573,0.1714,0.480971741,0.1612,0.404501765,0.146,0.403711192,0.1386,0.364165461,0.128,0.429860103,0.1362,0.366262003,0.1206,0.368581817,0.1364,0.397859844,0.133,0.370670576,0.1336,0.373751498,0.1388,0.441702367,0.1422,0.397096517,0.1382,0.459892536,0.1502
972,2.10469,0.1462,2.06214,0.1716,2.08194,0.1424,2.05148,0.1716,2.05709,0.1614,2.07052,0.146,2.07068,0.1386,2.07692,0.128,2.06884,0.1364,2.08087,0.1206,2.08749,0.1364,2.0751,0.133,2.08074,0.1336,2.09782,0.1386,2.07371,0.1422,2.1,0.1382,2.06737,0.1502,,,,,,0.462798087,0.1462,0.493935213,0.1716,0.413517362,0.1424,0.520919509,0.1716,0.481491364,0.1614,0.404908527,0.146,0.404117128,0.1386,0.364530533,0.128,0.430307291,0.1364,0.366640825,0.1206,0.368998987,0.1364,0.398299392,0.133,0.371078974,0.1336,0.37416172,0.1386,0.442205622,0.1422,0.397530014,0.1382,0.460355704,0.1502
973,2.10699,0.1462,2.0643,0.1718,2.08403,0.1424,2.05356,0.1718,2.05925,0.1616,2.0726,0.146,2.07277,0.1386,2.07921,0.128,2.07106,0.1364,2.08302,0.1208,2.08978,0.1364,2.07719,0.1332,2.0831,0.1336,2.10018,0.1388,2.076,0.1422,2.10222,0.1384,2.06966,0.1504,,,,,,0.463303832,0.1462,0.494452588,0.1718,0.413932481,0.1424,0.52144767,0.1718,0.481996943,0.1616,0.40531529,0.146,0.404525016,0.1386,0.364932462,0.128,0.430769039,0.1364,0.367019646,0.1208,0.369403783,0.1364,0.398700551,0.1332,0.371499856,0.1336,0.374582644,0.1388,0.44269395,0.1422,0.39795026,0.1384,0.460865634,0.1504
974,2.10928,0.1462,2.06638,0.172,2.08618,0.1424,2.05571,0.172,2.0614,0.1616,2.07476,0.146,2.07485,0.1386,2.0813,0.128,2.07321,0.1364,2.08532,0.1208,2.09186,0.1364,2.07948,0.1332,2.08539,0.1338,2.10247,0.1388,2.07809,0.1424,2.10451,0.1384,2.07175,0.1504,,,,,,0.463807377,0.1462,0.494950801,0.172,0.414359516,0.1424,0.521993606,0.172,0.482500181,0.1616,0.405737697,0.146,0.404930952,0.1386,0.365299288,0.128,0.431216227,0.1364,0.367424896,0.1208,0.369771458,0.1364,0.399140099,0.1332,0.371908255,0.1338,0.374991082,0.1388,0.44313963,0.1424,0.398383757,0.1384,0.461331029,0.1504
975,2.1115,0.1464,2.06853,0.172,2.0884,0.1426,2.05794,0.1722,2.06363,0.1618,2.07684,0.1462,2.07693,0.1386,2.08338,0.1282,2.07544,0.1364,2.0874,0.121,2.09394,0.1364,2.08156,0.1332,2.08768,0.1338,2.10483,0.1388,2.08017,0.1424,2.1068,0.1384,2.07411,0.1506,,,,,,0.464295531,0.1464,0.495465781,0.172,0.414800455,0.1426,0.522559856,0.1722,0.483022145,0.1618,0.406144459,0.1462,0.405336888,0.1386,0.365664359,0.1282,0.431680055,0.1364,0.367791384,0.121,0.370139133,0.1364,0.399539339,0.1332,0.372316653,0.1338,0.375412006,0.1388,0.443583177,0.1424,0.398817254,0.1384,0.461856547,0.1506
976,2.11379,0.1464,2.07062,0.1724,2.09048,0.1426,2.06016,0.1724,2.06585,0.162,2.0792,0.1462,2.0793,0.1386,2.08553,0.1282,2.07766,0.1366,2.08948,0.121,2.09603,0.1364,2.08392,0.1334,2.08991,0.1338,2.1072,0.1388,2.08225,0.1424,2.10909,0.1384,2.0764,0.1506,,,,,,0.464799076,0.1464,0.49596639,0.1724,0.415213587,0.1426,0.523123567,0.1724,0.483541768,0.162,0.406605978,0.1462,0.405799421,0.1386,0.366041716,0.1282,0.432141802,0.1366,0.368157872,0.121,0.370508576,0.1364,0.399992322,0.1334,0.372714351,0.1338,0.375834713,0.1388,0.444026724,0.1424,0.399250751,0.1384,0.462366477,0.1506
977,2.11609,0.1464,2.07277,0.1726,2.09256,0.1426,2.06238,0.1726,2.06801,0.1622,2.08128,0.1462,2.08159,0.1388,2.08762,0.1282,2.07981,0.1366,2.09157,0.1212,2.09839,0.1366,2.08601,0.1334,2.0922,0.134,2.10956,0.1388,2.08461,0.1424,2.11145,0.1384,2.07848,0.1508,,,,,,0.465304821,0.1464,0.49648137,0.1726,0.415626719,0.1426,0.523687278,0.1726,0.484047347,0.1622,0.407012741,0.1462,0.406246341,0.1388,0.366408543,0.1282,0.43258899,0.1366,0.368526121,0.1212,0.370925746,0.1366,0.400393482,0.1334,0.37312275,0.134,0.376255636,0.1388,0.444529979,0.1424,0.399697499,0.1384,0.462829645,0.1508
978,2.11838,0.1466,2.07486,0.1726,2.09472,0.1426,2.0646,0.1726,2.07016,0.1622,2.08337,0.1462,2.08367,0.1386,2.0897,0.1284,2.08203,0.1366,2.09393,0.1212,2.10068,0.1366,2.0883,0.1334,2.09456,0.134,2.11192,0.1388,2.08669,0.1424,2.11374,0.1384,2.08084,0.1508,,,,,,0.465808367,0.1466,0.496981978,0.1726,0.416055741,0.1426,0.524250988,0.1726,0.484550585,0.1622,0.407421459,0.1462,0.406652277,0.1386,0.366773614,0.1284,0.433050738,0.1366,0.368941943,0.1212,0.371330542,0.1366,0.400833029,0.1334,0.373543632,0.134,0.37667656,0.1388,0.444973526,0.1424,0.400130996,0.1384,0.463355163,0.1508
979,2.12074,0.1466,2.07715,0.173,2.09687,0.1426,2.06668,0.1728,2.07231,0.1624,2.08545,0.1464,2.08597,0.1388,2.09186,0.1284,2.08426,0.1366,2.09629,0.1214,2.10276,0.1366,2.09066,0.1336,2.09692,0.134,2.11421,0.1388,2.08885,0.1424,2.1161,0.1384,2.08292,0.151,,,,,,0.466327305,0.1466,0.497530492,0.173,0.416482777,0.1426,0.52477915,0.1728,0.485053823,0.1624,0.407828221,0.1464,0.407101148,0.1388,0.367152726,0.1284,0.433514566,0.1366,0.369357766,0.1214,0.371698217,0.1366,0.401286013,0.1336,0.373964514,0.134,0.377084998,0.1388,0.445434132,0.1424,0.400577744,0.1384,0.463818331,0.151
980,2.12303,0.1466,2.0793,0.1732,2.09895,0.1426,2.06884,0.173,2.07454,0.1626,2.08753,0.1464,2.08805,0.1388,2.09401,0.1286,2.08641,0.1366,2.09838,0.1214,2.10485,0.1366,2.09295,0.1336,2.09921,0.1342,2.11657,0.139,2.09093,0.1426,2.11846,0.1386,2.08501,0.151,,,,,,0.46683085,0.1466,0.498045472,0.1732,0.416895909,0.1426,0.525327625,0.173,0.485575787,0.1626,0.408234984,0.1464,0.407507084,0.1388,0.367530083,0.1286,0.433961754,0.1366,0.369726015,0.1214,0.372067659,0.1366,0.401725561,0.1336,0.374372912,0.1342,0.377505921,0.139,0.445877679,0.1426,0.401024492,0.1386,0.464283726,0.151
981,2.12539,0.1468,2.08145,0.1734,2.10117,0.1426,2.07099,0.1732,2.07669,0.1628,2.08962,0.1464,2.09013,0.1388,2.09637,0.1286,2.08863,0.1366,2.10053,0.1216,2.10714,0.1368,2.09503,0.1336,2.1015,0.1342,2.11887,0.139,2.09308,0.1426,2.12075,0.1386,2.0873,0.1512,,,,,,0.467349788,0.1468,0.498560451,0.1734,0.417336848,0.1426,0.525873561,0.1732,0.486079025,0.1628,0.408643702,0.1464,0.40791302,0.1388,0.367944299,0.1286,0.434423502,0.1366,0.370104837,0.1216,0.372472455,0.1368,0.402124801,0.1336,0.374781311,0.1342,0.377916143,0.139,0.446336153,0.1426,0.401457989,0.1386,0.464793656,0.1512
982,2.12776,0.1468,2.08361,0.1736,2.1034,0.1426,2.07307,0.1734,2.07892,0.163,2.09177,0.1464,2.0925,0.1388,2.09866,0.1286,2.09078,0.1368,2.10268,0.1216,2.10922,0.1368,2.09712,0.1338,2.10386,0.1344,2.12116,0.139,2.09544,0.1426,2.12304,0.1386,2.08938,0.1514,,,,,,0.467870925,0.1468,0.499077827,0.1736,0.417779773,0.1426,0.526401723,0.1734,0.486600988,0.163,0.409064153,0.1464,0.408375553,0.1388,0.368346228,0.1286,0.43487069,0.1368,0.370483658,0.1216,0.37284013,0.1368,0.40252596,0.1338,0.375202193,0.1344,0.378324582,0.139,0.446839408,0.1426,0.401891486,0.1386,0.465256824,0.1514
983,2.13005,0.1468,2.08576,0.1736,2.10562,0.1428,2.07523,0.1736,2.08114,0.163,2.09392,0.1466,2.09458,0.1388,2.10075,0.1286,2.09294,0.1368,2.10491,0.1218,2.11151,0.1368,2.0992,0.1338,2.10616,0.1344,2.12345,0.139,2.0976,0.1426,2.12527,0.1386,2.09146,0.1514,,,,,,0.468374471,0.1468,0.499592807,0.1736,0.418220712,0.1428,0.526950198,0.1736,0.487120611,0.163,0.409484605,0.1466,0.408781489,0.1388,0.368713054,0.1286,0.435319958,0.1368,0.370876575,0.1218,0.373244926,0.1368,0.4029252,0.1338,0.375612375,0.1344,0.37873302,0.139,0.447300015,0.1426,0.402313625,0.1386,0.465719993,0.1514
984,2.13234,0.1468,2.08792,0.174,2.10777,0.1428,2.07745,0.1738,2.08337,0.1632,2.09608,0.1466,2.09666,0.1388,2.10283,0.1288,2.09509,0.1368,2.10706,0.1218,2.1136,0.1368,2.10128,0.1338,2.10845,0.1346,2.12575,0.139,2.09975,0.1426,2.12749,0.1386,2.09355,0.1516,,,,,,0.468878017,0.1468,0.500110182,0.174,0.418647747,0.1428,0.527513909,0.1738,0.487642574,0.1632,0.409907012,0.1466,0.409187425,0.1388,0.369078125,0.1288,0.435767146,0.1368,0.371255396,0.1218,0.373614369,0.1368,0.40332444,0.1338,0.376020773,0.1346,0.379143242,0.139,0.447758489,0.1426,0.402733871,0.1386,0.466185387,0.1516
985,2.13456,0.1468,2.09,0.174,2.10992,0.1428,2.0796,0.1738,2.08427,0.1634,2.09816,0.1466,2.09896,0.1388,2.10491,0.1288,2.09724,0.1368,2.10915,0.122,2.11596,0.1368,2.10337,0.134,2.11081,0.1346,2.12804,0.139,2.1019,0.1426,2.12957,0.1386,2.09563,0.1516,,,,,,0.46936617,0.1468,0.500608395,0.174,0.419074783,0.1428,0.528059845,0.1738,0.487853232,0.1634,0.410313774,0.1466,0.409636297,0.1388,0.369443196,0.1288,0.436214334,0.1368,0.371623645,0.122,0.374031539,0.1368,0.403725599,0.134,0.376441655,0.1346,0.379551681,0.139,0.448216963,0.1426,0.403127615,0.1386,0.466648556,0.1516
986,2.13679,0.147,2.09215,0.1742,2.11207,0.1428,2.08182,0.174,2.08552,0.1634,2.10024,0.1468,2.10111,0.139,2.10728,0.1288,2.09947,0.1368,2.11123,0.122,2.11804,0.1368,2.10573,0.134,2.1131,0.1346,2.1304,0.139,2.10405,0.1426,2.13186,0.1386,2.09771,0.1518,,,,,,0.469856522,0.147,0.501123375,0.1742,0.419501818,0.1428,0.528623555,0.174,0.488145813,0.1634,0.410720537,0.1468,0.410055894,0.139,0.369859167,0.1288,0.436678162,0.1368,0.371990133,0.122,0.374399214,0.1368,0.404178583,0.134,0.376850054,0.1346,0.379972604,0.139,0.448675437,0.1426,0.403561112,0.1386,0.467111724,0.1518
987,2.13887,0.147,2.09431,0.1746,2.11416,0.1428,2.08398,0.1742,2.08767,0.1636,2.10233,0.1468,2.10319,0.1388,2.10957,0.129,2.10169,0.1368,2.11352,0.122,2.12019,0.137,2.10802,0.134,2.11539,0.1346,2.13269,0.139,2.10621,0.1428,2.13415,0.1386,2.0998,0.1518,,,,,,0.470313891,0.147,0.50164075,0.1746,0.419916937,0.1428,0.529172031,0.1742,0.488649051,0.1636,0.411129255,0.1468,0.41046183,0.1388,0.370261096,0.129,0.43713991,0.1368,0.372393622,0.122,0.374779262,0.137,0.404618131,0.134,0.377258452,0.1346,0.380381043,0.139,0.449136043,0.1428,0.403994609,0.1386,0.467577119,0.1518
988,2.14116,0.147,2.09646,0.1746,2.11631,0.1428,2.08606,0.1744,2.0899,0.1636,2.10448,0.1468,2.10528,0.139,2.11165,0.129,2.10384,0.137,2.11575,0.1222,2.12248,0.137,2.1101,0.134,2.11768,0.1348,2.13499,0.139,2.10836,0.1428,2.13644,0.1388,2.10188,0.152,,,,,,0.470817437,0.147,0.50215573,0.1746,0.420343972,0.1428,0.529700192,0.1744,0.489171014,0.1636,0.411549706,0.1468,0.410869718,0.139,0.370626167,0.129,0.437587098,0.137,0.372786539,0.1222,0.375184058,0.137,0.405017371,0.134,0.37766685,0.1348,0.380791265,0.139,0.449594517,0.1428,0.404428106,0.1388,0.468040287,0.152
989,2.14345,0.1472,2.09868,0.1748,2.11846,0.1428,2.08821,0.1746,2.09205,0.1638,2.10684,0.147,2.10743,0.139,2.11374,0.129,2.10599,0.137,2.11783,0.1224,2.12464,0.137,2.11247,0.1342,2.11998,0.1348,2.13728,0.139,2.11051,0.1428,2.13873,0.1388,2.10417,0.152,,,,,,0.471320983,0.1472,0.502687477,0.1748,0.420771008,0.1428,0.530246128,0.1746,0.489674253,0.1638,0.412011225,0.147,0.411289315,0.139,0.370992993,0.129,0.438034286,0.137,0.373153026,0.1224,0.375565875,0.137,0.405472274,0.1342,0.378077032,0.1348,0.381199703,0.139,0.450052991,0.1428,0.404861603,0.1388,0.468550217,0.152
990,2.14575,0.1472,2.10091,0.175,2.12068,0.1428,2.09037,0.1746,2.09428,0.164,2.10892,0.147,2.10979,0.139,2.11603,0.1292,2.10815,0.137,2.11998,0.1224,2.12672,0.137,2.11455,0.1342,2.12227,0.1348,2.1395,0.139,2.11266,0.1428,2.14095,0.1388,2.10625,0.1522,,,,,,0.471826728,0.1472,0.503221619,0.175,0.421211947,0.1428,0.530794604,0.1746,0.490196216,0.164,0.412417988,0.147,0.411749897,0.139,0.371394923,0.1292,0.438483554,0.137,0.373531847,0.1224,0.37593355,0.137,0.405871514,0.1342,0.378485431,0.1348,0.381595657,0.139,0.450511465,0.1428,0.405281849,0.1388,0.469013385,0.1522
991,2.14804,0.1472,2.10313,0.1752,2.12284,0.143,2.09252,0.1748,2.09643,0.1642,2.11121,0.147,2.11209,0.139,2.11811,0.1292,2.11037,0.137,2.12214,0.1224,2.12908,0.137,2.11663,0.1342,2.1247,0.135,2.14179,0.139,2.11488,0.1428,2.14324,0.1388,2.10861,0.1522,,,,,,0.472330273,0.1472,0.503753365,0.1752,0.421640968,0.143,0.53134054,0.1748,0.490699454,0.1642,0.412865817,0.147,0.412198768,0.139,0.371759994,0.1292,0.438945302,0.137,0.373912431,0.1224,0.37635072,0.137,0.406270754,0.1342,0.378918796,0.135,0.382004095,0.139,0.450984866,0.1428,0.405715346,0.1388,0.469538903,0.1522
992,2.15026,0.1472,2.10528,0.1756,2.12499,0.143,2.0946,0.175,2.09859,0.1644,2.1133,0.1472,2.11445,0.139,2.1204,0.1292,2.11259,0.137,2.12422,0.1226,2.13116,0.137,2.11892,0.1344,2.12699,0.135,2.14402,0.1392,2.11697,0.143,2.14554,0.1388,2.11091,0.1524,,,,,,0.472818427,0.1472,0.504268345,0.1756,0.422068004,0.143,0.531868701,0.175,0.491205033,0.1644,0.413274535,0.1472,0.412659349,0.139,0.372161923,0.1292,0.439407049,0.137,0.374278918,0.1226,0.376718395,0.137,0.406710302,0.1344,0.379327195,0.135,0.382401832,0.1392,0.451430545,0.143,0.406150736,0.1388,0.47005106,0.1524
993,2.15255,0.1474,2.10744,0.1758,2.12721,0.143,2.09668,0.1752,2.10081,0.1646,2.11566,0.1472,2.11674,0.139,2.12249,0.1292,2.11474,0.137,2.12637,0.1226,2.13325,0.1372,2.12101,0.1344,2.12928,0.135,2.14624,0.1392,2.11912,0.143,2.14783,0.1388,2.11299,0.1524,,,,,,0.473321972,0.1474,0.50478572,0.1758,0.422508943,0.143,0.532396863,0.1752,0.491724656,0.1646,0.413736054,0.1472,0.413106269,0.139,0.372528749,0.1292,0.439854237,0.137,0.374657739,0.1226,0.377087837,0.1372,0.407111461,0.1344,0.379735593,0.135,0.382797786,0.1392,0.451889019,0.143,0.406584233,0.1388,0.470514228,0.1524
994,2.15485,0.1474,2.10959,0.176,2.12943,0.143,2.09877,0.1754,2.10296,0.1648,2.11774,0.1474,2.11882,0.139,2.12485,0.1294,2.11696,0.1372,2.12853,0.1228,2.13533,0.1372,2.12309,0.1344,2.13157,0.1352,2.1486,0.1392,2.12127,0.143,2.15005,0.1388,2.11535,0.1526,,,,,,0.473827717,0.1474,0.5053007,0.176,0.422949882,0.143,0.532927563,0.1754,0.492227894,0.1648,0.414142817,0.1474,0.413512205,0.139,0.372942965,0.1294,0.440315985,0.1372,0.375038323,0.1228,0.377455512,0.1372,0.407510701,0.1344,0.380143992,0.1352,0.383218709,0.1392,0.452347493,0.143,0.407004479,0.1388,0.471039746,0.1526
995,2.15714,0.1474,2.11181,0.1762,2.13165,0.143,2.10085,0.1756,2.10519,0.1648,2.1201,0.1474,2.12091,0.139,2.12693,0.1294,2.11919,0.1372,2.13068,0.123,2.13741,0.1372,2.12538,0.1346,2.13386,0.1352,2.15082,0.1392,2.12342,0.143,2.15234,0.139,2.11771,0.1528,,,,,,0.474331263,0.1474,0.505832447,0.1762,0.423390821,0.143,0.533455725,0.1756,0.492749858,0.1648,0.414604336,0.1474,0.413920093,0.139,0.373308036,0.1294,0.440779813,0.1372,0.375417144,0.123,0.377823187,0.1372,0.407950249,0.1346,0.38055239,0.1352,0.383614662,0.1392,0.452805967,0.143,0.407437976,0.139,0.471565263,0.1528
996,2.15936,0.1476,2.11397,0.1764,2.13394,0.143,2.10293,0.176,2.10741,0.165,2.12239,0.1474,2.1232,0.139,2.12909,0.1296,2.12141,0.1372,2.13277,0.123,2.13971,0.1372,2.12747,0.1346,2.13623,0.1352,2.15319,0.1392,2.12558,0.143,2.15463,0.139,2.12,0.1528,,,,,,0.474819416,0.1476,0.506349822,0.1764,0.423845663,0.143,0.533983886,0.176,0.493269481,0.165,0.415052165,0.1474,0.414367013,0.139,0.373687148,0.1296,0.441241561,0.1372,0.375785393,0.123,0.378229751,0.1372,0.408351408,0.1346,0.380975056,0.1352,0.384037369,0.1392,0.453266574,0.143,0.407871473,0.139,0.472075194,0.1528
997,2.16166,0.1476,2.11619,0.1766,2.1363,0.1432,2.10509,0.176,2.10971,0.1652,2.12448,0.1476,2.12528,0.139,2.13138,0.1296,2.12363,0.1372,2.13492,0.1232,2.14179,0.1372,2.12976,0.1346,2.13831,0.1352,2.15548,0.1392,2.12773,0.143,2.15692,0.139,2.12209,0.153,,,,,,0.475325161,0.1476,0.506881569,0.1766,0.424314409,0.1432,0.534532361,0.176,0.493807829,0.1652,0.415460883,0.1476,0.414772949,0.139,0.374089077,0.1296,0.441703308,0.1372,0.376164215,0.1232,0.378597426,0.1372,0.408790956,0.1346,0.381346003,0.1352,0.384445808,0.1392,0.453725048,0.143,0.40830497,0.139,0.472540588,0.153
998,2.16395,0.1476,2.11841,0.1768,2.13852,0.1432,2.10724,0.1762,2.11186,0.1654,2.12656,0.1476,2.12764,0.139,2.13353,0.1296,2.12592,0.1372,2.137,0.1232,2.14387,0.1372,2.13184,0.1346,2.1406,0.1354,2.15777,0.1392,2.12995,0.143,2.159,0.139,2.12438,0.153,,,,,,0.475828707,0.1476,0.507413316,0.1768,0.424755348,0.1432,0.535078297,0.1762,0.494311067,0.1654,0.415867646,0.1476,0.41523353,0.139,0.374466435,0.1296,0.442179616,0.1372,0.376530702,0.1232,0.378965101,0.1372,0.409190196,0.1346,0.381754401,0.1354,0.384854246,0.1392,0.454198449,0.143,0.408698714,0.139,0.473050519,0.153
999,2.16624,0.1478,2.12057,0.177,2.14082,0.1432,2.10939,0.1764,2.11408,0.1656,2.12864,0.1476,2.12994,0.1392,2.13561,0.1296,2.12815,0.1372,2.13916,0.1232,2.14596,0.1374,2.1342,0.1348,2.14289,0.1354,2.16013,0.1392,2.1321,0.143,2.16129,0.139,2.12646,0.1532,,,,,,0.476332252,0.1478,0.507930691,0.177,0.425212177,0.1432,0.535624233,0.1764,0.49483069,0.1656,0.416274408,0.1476,0.415682402,0.1392,0.374831506,0.1296,0.442643443,0.1372,0.376911285,0.1232,0.379334544,0.1374,0.409643179,0.1348,0.382162799,0.1354,0.38527517,0.1392,0.454656923,0.143,0.409132211,0.139,0.473513687,0.1532
1000,2.16832,0.1478,2.12279,0.1774,2.14304,0.1432,2.11155,0.1766,2.11631,0.1656,2.13101,0.1478,2.13202,0.1392,2.13798,0.1298,2.13037,0.1372,2.14131,0.1234,2.14804,0.1374,2.13649,0.1348,2.14511,0.1354,2.16243,0.1394,2.13426,0.1432,2.16358,0.139,2.12882,0.1534,,,,,,0.476789621,0.1478,0.508462438,0.1774,0.425653116,0.1432,0.536172709,0.1766,0.495352653,0.1656,0.416737883,0.1478,0.416088338,0.1392,0.375247476,0.1298,0.443105191,0.1372,0.377290107,0.1234,0.379702219,0.1374,0.410082727,0.1348,0.382558714,0.1354,0.385685392,0.1394,0.455117529,0.1432,0.409565708,0.139,0.474039205,0.1534
1001,2.17062,0.1478,2.12501,0.1776,2.14533,0.1432,2.11377,0.1768,2.11846,0.1658,2.13309,0.1478,2.13438,0.1392,2.14006,0.1298,2.13259,0.1374,2.14353,0.1236,2.15012,0.1374,2.13858,0.1348,2.14741,0.1356,2.16472,0.1394,2.13641,0.1432,2.16588,0.139,2.1309,0.1534,,,,,,0.477295366,0.1478,0.508994184,0.1776,0.426107959,0.1432,0.53673642,0.1768,0.495855891,0.1658,0.417144645,0.1478,0.416548919,0.1392,0.375612547,0.1298,0.443566939,0.1374,0.377681262,0.1236,0.380069894,0.1374,0.410483886,0.1348,0.382968896,0.1356,0.38609383,0.1394,0.455576003,0.1432,0.410001098,0.139,0.474502373,0.1534
1002,2.17291,0.148,2.12724,0.1778,2.14755,0.1434,2.11592,0.177,2.12062,0.166,2.13524,0.1478,2.13647,0.1392,2.14214,0.1298,2.13481,0.1374,2.14569,0.1236,2.15221,0.1374,2.14087,0.135,2.14963,0.1356,2.16694,0.1394,2.13856,0.1432,2.16817,0.139,2.1332,0.1536,,,,,,0.477798912,0.148,0.509528326,0.1778,0.426548898,0.1434,0.537282356,0.177,0.49636147,0.166,0.417565097,0.1478,0.416956807,0.1392,0.375977618,0.1298,0.444028687,0.1374,0.378061845,0.1236,0.380439336,0.1374,0.410923434,0.135,0.38336481,0.1356,0.386489784,0.1394,0.456034477,0.1432,0.410434595,0.139,0.47501453,0.1536
1003,2.1752,0.148,2.12884,0.178,2.14984,0.1434,2.118,0.1772,2.12277,0.1662,2.13733,0.148,2.13855,0.1392,2.14423,0.1298,2.1371,0.1374,2.14784,0.1236,2.15429,0.1374,2.14295,0.135,2.15199,0.1356,2.16923,0.1394,2.14078,0.1434,2.17046,0.139,2.13556,0.1538,,,,,,0.478302457,0.148,0.509911567,0.178,0.42700374,0.1434,0.537810517,0.1772,0.496864708,0.1662,0.417973815,0.148,0.417362743,0.1392,0.376344445,0.1298,0.444504994,0.1374,0.378440666,0.1236,0.380807011,0.1374,0.411322674,0.135,0.383785693,0.1356,0.386898222,0.1394,0.456507878,0.1434,0.410868092,0.139,0.475540047,0.1538
1004,2.17749,0.148,2.12953,0.178,2.15213,0.1434,2.12016,0.1774,2.125,0.1664,2.13948,0.148,2.14084,0.1392,2.14631,0.13,2.13933,0.1374,2.15,0.1238,2.15637,0.1374,2.14524,0.135,2.15428,0.1356,2.17153,0.1394,2.14294,0.1434,2.17254,0.1392,2.13785,0.1538,,,,,,0.478806003,0.148,0.51007684,0.178,0.427458583,0.1434,0.538358992,0.1774,0.497386672,0.1664,0.418394266,0.148,0.417809663,0.1392,0.376709516,0.13,0.444968822,0.1374,0.378821249,0.1238,0.381174686,0.1374,0.411762222,0.135,0.384194091,0.1356,0.387308444,0.1394,0.456968485,0.1434,0.411261836,0.1392,0.476049978,0.1538
